OCCSOC_2018
291141
431011
439061
439022
434171
291051
292061
291081
433021
434071
434111
292042
372012
353041
491011
516011
299021
291031
119111
132052
474041
291123
113031
311122
319091
132011
291126
433031
291127
131111
351012
291071
291181
291124
291011
537065
439021
395012
291292
435061
434051
434199
533011
151251
151244
291122
433051
432011
371011
434161
291129
113061
533053
537062
419099
352021
472111
212011
232011
519061
435021
518021
113021
151242
131023
151299
111021
411012
472061
319011
435071
359021
259049
151232
433011
499021
433061
399011
392021
331099
432021
119151
291041
499071
411011
291299
292081
339093
112032
439051
353023
359031
351011
192099
113012
472031
492011
113071
172061
399099
472141
291125
172141
132099
113051
419041
273031
471011
132051
274021
353031
434061
172051
172011
119141
272099
254031
339021
291131
273043
119051
434181
513011
515112
254022
119021
537081
537063
152031
536021
472211
273041
511011
432099
399041
439081
131081
412031
474011
371012
119041
515111
439111
439071
119121
131121
112011
131051
434121
514033
132031
493023
537061
273042
434041
412021
391022
499098
272012
131011
332011
194021
339091
413011
513092
533099
492092
499091
193051
212021
499094
493011
434031
472161
132023
493031
519111
172081
132081
499052
516093
537051
519196
435111
516021
212099
194031
339011
132041
152011
512041
536031
519198
537064
518031
519051
435011
333021
119081
393031
519191
194013
353011
272011
513093
499043
492091
413041
331021
472011
492098
516041
516031
493021
519192
173031
514041
492097
132082
474051
472071
499044
119013
434131
419091
519071
132061
474021
193011
452041
395011
392011
472142
372021
514023
534031
319092
113121
319097
131199
151212
291151
319094
131141
113111
211093
433099
151211
113131
131151
131041
151254
131131
151241
519151
131161
319095
151221
119161
319096
419031
534022
394031
433041
514031
211092
231012
172041
172121
517041
499051
515113
514191
499031
519041
472221
499096
536051
519195
537021
517042
512031
514111
474061
172131
434141
472181
439041
413091
132053
413021
434081
131021
433071
192021
536061
131022
331012
475032
514022
331011
393021
514021
472121
413031
119071
452011
519197
311131
436014
292090
31909X
292072
436013
519080
292034
292032
439XXX
312020
2530XX
292010
2911XX
352010
291020
292052
292031
211019
331090
1110XX
29205X
291210
292043
291240
1191XX
311121
299000
399031
151253
37201X
211011
31113X
412010
339030
151230
435032
131070
211029
19303X
292053
21109X
292035
292055
211014
399032
29112X
193033
211022
29203X
211015
434YYY
312010
1940YY
414010
499060
191020
251000
131082
195010
211012
472152
193034
291291
1721YY
211023
151252
1910XX
436011
1520XX
472140
132070
292056
113013
2590XX
17302X
271024
1320XX
533030
192041
333050
435031
112021
172110
4990XX
419020
274030
4330XX
49904X
359011
518090
373011
259040
434XXX
532010
112022
131030
15124X
119030
5191XX
27102X
273091
252050
531000
533052
391000
271010
271023
211013
272042
519120
395094
3940XX
192030
171011
112030
192010
252020
1930XX
1720XX
2310XX
232099
4520XX
396010
436012
519160
519020
272041
39509X
173011
519030
211021
272022
172070
492020
273099
254010
5360XX
253041
194010
519010
173023
19204X
3930XX
473010
339094
119070
359099
2740XX
1940XX
17301X
493040
395092
232093
533054
332020
472080
333012
454020
5120XX
472070
33909X
397010
514120
132020
532020
252010
535020
151255
271025
272023
49209X
533051
5140XX
373013
171020
499010
518010
271026
517011
5371XX
191010
273023
252030
516060
419010
393010
472040
514XXX
37301X
472XXX
516050
514050
512020
451011
191030
493050
513020
5350XX
51609X
1721XX
3330XX
273011
536030
516040
472151
4750XX
475040
493090
4750YY
532031
5170XX
271021
272091
51403X
513091
272030
