"OCCSOC"
"1520XX"
"0"
"112020"
"131070"
"291111"
"412031"
"436010"
"113051"
"431011"
"412010"
"2310XX"
"192099"
"119051"
"252020"
"319011"
"373010"
"4520XX"
"392011"
"395012"
"472141"
"439061"
"492020"
"434171"
"352021"
"37201X"
"411011"
"552010"
"472061"
"516031"
"132011"
"439022"
"253000"
"435021"
"472150"
"232011"
"514XXX"
"419091"
"339030"
"493023"
"537062"
"372012"
"511011"
"1191XX"
"493031"
"413011"
"351012"
"49904X"
"411012"
"151041"
"292050"
"537051"
"1110XX"
"359031"
"472031"
"291031"
"47207X"
"537030"
"439021"
"212099"
"251000"
"172051"
"271010"
"353022"
"173010"
"472040"
"439051"
"119041"
"113031"
"399030"
"435081"
"399011"
"211020"
"491011"
"291051"
"333010"
"292061"
"434XXX"
"331012"
"433021"
"536051"
"472111"
"434051"
"332011"
"333021"
"474011"
"519120"
"514120"
"512090"
"151030"
"252030"
"5191XX"
"311010"
"391021"
"372021"
"499021"
"434121"
"132070"
"291060"
"291081"
"331011"
"454020"
"292010"
"172070"
"212011"
"31909X"
"439011"
"419099"
"371011"
"433031"
"352010"
"414010"
"493011"
"399021"
"999920"
"172141"
"514050"
"434071"
"131111"
"333050"
"119021"
"151081"
"519061"
"211010"
"472181"
"273090"
"533030"
"434111"
"111021"
"536031"
"413099"
"435071"
"172110"
"439041"
"292041"
"434131"
"3590XX"
"193030"
"132081"
"353031"
"359021"
"131121"
"113040"
"371012"
"471011"
"252040"
"499052"
"171010"
"119030"
"119012"
"499051"
"131030"
"353041"
"1940XX"
"439XXX"
"412022"
"516063"
"419020"
"272040"
"113071"
"473010"
"472020"
"435111"
"332020"
"519041"
"433071"
"433061"
"152031"
"499042"
"514041"
"413021"
"252010"
"537021"
"192021"
"519010"
"516011"
"292071"
"194021"
"532010"
"353021"
"232090"
"513020"
"151021"
"194031"
"435041"
"537064"
"112031"
"192040"
"434081"
"419010"
"119111"
"492011"
"537061"
"312020"
"33909X"
"259041"
"132052"
"474041"
"413031"
"435052"
"191030"
"399041"
"1721YY"
"516050"
"151071"
"211090"
"419041"
"291123"
"291131"
"493040"
"131XXX"
"531000"
"472130"
"412021"
"519196"
"271020"
"533020"
"113021"
"499095"
"131081"
"499044"
"319091"
"119141"
"273010"
"512020"
"291020"
"291126"
