"primary_dimension_label","n_occupations","n_workers","avg_incwage","median_incwage","avg_IP_R_M","avg_IP_R_NM","avg_IP_NR_M","avg_IP_NR_NM","avg_P_R_M","avg_P_R_NM","avg_P_NR_M","avg_P_NR_NM"
"Interpersonal Non-Routine Manual",7,8381,19465.445650877,15000,0.102092696443013,0.0394750361266887,0.410120775828925,0.279394364236567,0.0604194010261305,0.0535835023664638,0.00871017778308078,0.0462040461891315
"Interpersonal Non-Routine Non-Manual",45,911611,51494.8580918835,48000,0.0606927582978892,0.0271551215009318,0.102492994992645,0.579454999566363,0.0356598302502937,0.057993786317678,0.0256420524850428,0.110908456589156
"Interpersonal Routine Manual",4,5780,18273.2802768166,15000,0.330699044323612,0.173120571758115,0.123682855495139,0.0189374279123414,0.135087123084528,0.10603579667161,0.00882352941176471,0.10361365134289
"Interpersonal Routine Non-Manual",10,115066,21195.4868857873,20200,0.0240683742239371,0.421323637370515,0.01767745302282,0.101355021319216,0.0332766108305799,0.305720816634336,4.46120777061281e-05,0.0965334745208904
"Personal Non-Routine Manual",17,14247,41943.8113287008,40000,0.0168815439186601,0.00393377163223446,0.0384535667288937,0.0288868272684647,0.132228025684942,0.1105908660216,0.562131538850933,0.106893859894272
"Personal Non-Routine Non-Manual",32,339930,49230.2329773777,37000,0.00159058681550762,0.000211310242740766,0.00332883611212202,0.382705704085378,0.000840933090141115,0.0327580002671623,0.00535908242306398,0.573205546963884
"Personal Routine Manual",15,67474,16924.366422622,15000,0.0618420746845378,0.0587204982727049,0.000622461985357322,0.00087441088419243,0.788638137187164,0.0132796979675036,0.073453643830752,0.00256907518778758
"Personal Routine Non-Manual",15,131479,25745.0560013386,25000,0.0245632804900825,0.0870525361687449,0,0.0626068352851718,0.0170665006419922,0.716845383150872,0.0184806035527332,0.0733848607104032
