"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.343188532382633,0.0220120105523103,15.5909671025764,3.73390906051782e-32,0.299661295670838,0.386715769094428
"PC1",0.0299712202472862,0.0153939826910889,1.94694387077853,0.0535873339387523,-0.00046932160780459,0.060411762102377
"PC2",-0.0106730681063423,0.0181195117195185,-0.589037291487559,0.556806272977841,-0.0465031561323017,0.0251570199196172
"PC3",-0.0253946496342265,0.0190100362101734,-1.33585487967857,0.183811589727029,-0.0629856885833318,0.0121963893148788
"PC4",0.0271403370305136,0.0220430558674564,1.23124203802353,0.220341794567195,-0.0164482896564474,0.0707289637174745
