"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.134929334433504,0.0572619548774707,2.35635221888995,0.0198723980521345,0.0216977575810117,0.248160911285996
"PC1",-0.0999698588155006,0.0400458440698493,-2.49638535876856,0.0137322963787063,-0.179157760802446,-0.0207819568285546
"PC2",0.066863197417029,0.0471360242181953,1.4185158490991,0.158311062217944,-0.0263450480961439,0.160071442930202
"PC3",0.180760009655996,0.0494526310124716,3.65521522222771,0.000365163554228653,0.0829708335611763,0.278549185750817
"PC4",-0.112601886419939,0.0573427160342414,-1.96366503380657,0.051593801273355,-0.225993162904572,0.000789390064693876
