"primary_dimension_label","n_occupations","n_workers","avg_incwage","median_incwage","avg_INR","avg_IR","avg_PNR","avg_PR"
"Interpersonal Non-Routine",45,879641,52612.5236136106,50000,0.619447337840193,0.0576890468071249,0.166870917962423,0.155992697390259
"Interpersonal Routine",9,5635,20697.7728482697,15000,0.111587778533209,0.590630874597157,0.020918895508514,0.27686245136112
"Personal Non-Routine",43,168153,68420.0582088931,57000,0.362248391071212,0.00157951389508364,0.534782858962898,0.101389236070806
"Personal Routine",48,540539,25175.6321856517,21100,0.0972045332225403,0.138428091900694,0.081451674970395,0.68291569990637
