"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",68.0473725103239,9.10144975776537,7.47654212476049,7.99725127141633e-12,50.0510436667078,86.04370135394
"INR",-27.8396759295739,14.7665861054254,-1.88531565324672,0.061489530071302,-57.0376989394877,1.35834708033985
"IR",-32.0265857754416,30.6895324571307,-1.04356708008434,0.298510367875958,-92.7091070060985,28.6559354552153
"PNR",-39.7505859901314,16.6404975515776,-2.3887859042029,0.018256978964202,-72.653900739968,-6.84727124029478
"PR",NA,NA,NA,NA,NA,NA
