"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-14.3597791135005,31.8491707154564,-0.450868226422351,0.652792154818353,-77.3352571798155,48.6156989528145
"INR",42.7380378990633,51.6734733776799,0.827078868623602,0.409620206266393,-59.4361040394942,144.912179837621
"IR",49.2747227993646,107.393457572047,0.458824251619867,0.647082204099917,-163.07474124844,261.624186847169
"PNR",181.383748218249,58.2309479715738,3.1149028916169,0.00223838794792939,66.2434885384284,296.524007898069
"PR",NA,NA,NA,NA,NA,NA
