"primary_dimension_label","n_occupations","n_workers","avg_incwage","median_incwage","avg_INR","avg_IR","avg_PNR","avg_PR"
"Interpersonal Non-Routine",97,811954,55381.1850671343,50000,0.647810528340079,0.0337916357048993,0.190789159329585,0.127608676625437
"Interpersonal Routine",10,5156,20869.299844841,15000,0.171796639254307,0.442764554497266,0.054905849767942,0.330532956480485
"Personal Non-Routine",98,193684,69205.9322814481,58000,0.365560725712768,0.00219470989882014,0.537155113162573,0.0950894512258387
"Personal Routine",121,1220798,42486.288221311,26700,0.185470970720064,0.174392701358369,0.0617140541554229,0.578422273766144
