O*NET 2018 SOC Code,ONET_release_year,pct_healthcare_tot_emp,total_intensity,classification,task_intensity_core,bucket_weight,percentile
37-3012,2012,2.2678616785805e-06,1.0,R-P-M,0.7221380120477638,1.6377091241694272e-06,0.6947859477049416
37-3012,2013,1.670038288411159e-06,1.0,R-P-M,0.7221380120477638,1.2059981296368844e-06,0.6947859477049416
37-3012,2021,1.933141340179231e-06,0.9999999999999996,R-P-M,0.6362081399052824,1.229880256209434e-06,0.6190224056323609
39-1013,2006,3.228322460343287e-06,1.9999999999999991,R-P-M,0.2989347900351192,4.825289484241902e-07,0.313528872475751
39-1022,2020,0.0029278898346414,0.9999999999999996,R-P-M,0.1030378423410564,0.0003016834511737624,0.03676430967550855
39-1022,2021,0.001253158873771,0.9999999999999996,R-P-M,0.1030378423410564,0.00012912278646391216,0.03676430967550855
39-1022,2022,0.0012193831127066,0.9999999999999996,R-P-M,0.1030378423410564,0.0001256426049204093,0.03676430967550855
39-1022,2023,0.0012515420868259,0.9999999999999996,R-P-M,0.1030378423410564,0.00012895619622556385,0.03676430967550855
39-1022,2024,0.001265909788919,0.9999999999999993,R-P-M,0.0712338412970567,9.017561700024665e-05,0.019152868878619875
39-2011,2007,1.884463540341653e-06,0.9999999999999994,R-P-M,0.1268308780333147,2.3900816544330076e-07,0.08997108719857307
39-2011,2020,1.4750074733711984e-06,0.9999999999999996,R-P-M,0.1189546939932506,1.754590626326287e-07,0.08682719233029848
39-2021,2006,2.582657968274629e-06,0.9999999999999996,R-P-M,0.4895296573174242,1.264287670177595e-06,0.5756584892193451
39-2021,2007,2.512618053788871e-06,0.9999999999999996,R-P-M,0.4895296573174242,1.23000105484084e-06,0.5756584892193451
39-2021,2008,3.662046791192533e-06,0.9999999999999998,R-P-M,0.4895296573174242,1.792680510772854e-06,0.5756584892193451
39-2021,2009,1.19309816573088e-05,0.9999999999999998,R-P-M,0.4895296573174242,5.840569362162852e-06,0.5756584892193451
39-2021,2010,1.582541403239462e-05,0.9999999999999998,R-P-M,0.4895296573174242,7.747009508184496e-06,0.5756584892193451
39-2021,2011,1.5599379144710044e-05,0.9999999999999997,R-P-M,0.5538347194607959,8.639477772373081e-06,0.5854149689451743
39-2021,2012,1.2473239232192749e-05,0.9999999999999997,R-P-M,0.5538347194607959,6.908112950928866e-06,0.5854149689451743
39-2021,2013,1.1133588589407726e-05,0.9999999999999997,R-P-M,0.5538347194607959,6.166167913006548e-06,0.5854149689451743
39-2021,2014,1.0965892237080398e-05,0.9999999999999997,R-P-M,0.5538347194607959,6.073291850760743e-06,0.5854149689451743
39-2021,2015,1.3955378214903165e-05,0.9999999999999997,R-P-M,0.5538347194607959,7.7289729786202e-06,0.5854149689451743
39-2021,2017,1.395029509856382e-05,0.9999999999999997,R-P-M,0.5538347194607959,7.726157772308414e-06,0.5854149689451743
39-2021,2018,9.2694728450793e-06,0.9999999999999997,R-P-M,0.5538347194607959,5.133755892703961e-06,0.5854149689451743
39-2021,2019,9.581802241183544e-06,0.9999999999999993,R-P-M,0.458206966269735,4.390448536329262e-06,0.49889717553459656
39-2021,2020,1.573341304929278e-05,0.9999999999999993,R-P-M,0.458206966269735,7.20915946238511e-06,0.49889717553459656
39-2021,2021,2.126455474197154e-05,0.9999999999999993,R-P-M,0.458206966269735,9.743567117395494e-06,0.49889717553459656
39-2021,2022,9.967709368175382e-06,0.9999999999999993,R-P-M,0.458206966269735,4.5672738702500625e-06,0.49889717553459656
39-2021,2023,2.428844035217322e-05,0.9999999999999993,R-P-M,0.458206966269735,1.112913256919271e-05,0.49889717553459656
39-2021,2024,2.8276335491325257e-05,0.9999999999999993,R-P-M,0.458206966269735,1.2956413902705391e-05,0.49889717553459656
39-3031,2009,2.38619633146176e-06,0.9999999999999997,R-P-M,0.0,0.0,0.0
39-3031,2010,3.652018622860298e-06,0.9999999999999997,R-P-M,0.0,0.0,0.0
39-3031,2011,2.999880604751931e-06,0.9999999999999997,R-P-M,0.0,0.0,0.0
39-3031,2012,2.8348270982256244e-06,0.9999999999999997,R-P-M,0.0,0.0,0.0
39-3031,2013,5.566794294703864e-06,0.9999999999999997,R-P-M,0.0,0.0,0.0
39-3031,2014,5.482946118540199e-06,0.9999999999999997,R-P-M,0.0,0.0,0.0
39-3031,2015,3.220471895746884e-06,0.9999999999999996,R-P-M,0.1025202153632473,3.30163472323256e-07,0.03676430967550855
39-3031,2016,2.087879909323376e-06,0.9999999999999996,R-P-M,0.1025202153632473,2.1404989795642986e-07,0.03676430967550855
39-3031,2017,1.992899299794831e-06,0.9999999999999996,R-P-M,0.1025202153632473,2.043124654122309e-07,0.03676430967550855
39-3031,2021,1.933141340179231e-06,0.9999999999999996,R-P-M,0.1025202153632473,1.9818606652277137e-07,0.03676430967550855
39-3031,2022,2.847916962335824e-06,0.9999999999999996,R-P-M,0.1025202153632473,2.9196906031531386e-07,0.03676430967550855
39-3091,2006,6.133812674652246e-05,0.9999999999999998,R-P-M,0.1578597931891853,9.682824002818072e-06,0.14599313507589992
39-3091,2007,7.41222325867717e-05,0.9999999999999998,R-P-M,0.1578597931891853,1.1700920306868475e-05,0.14599313507589992
39-3091,2008,5.737206639534968e-05,0.9999999999999998,R-P-M,0.1578597931891853,9.05674253600611e-06,0.14599313507589992
39-3091,2009,7.039279177812192e-05,0.9999999999999998,R-P-M,0.1578597931891853,1.1112191552103712e-05,0.14599313507589992
39-3091,2010,5.660628865433462e-05,0.9999999999999998,R-P-M,0.1578597931891853,8.935857020180591e-06,0.14599313507589992
39-3091,2011,7.139715839309596e-05,0.9999999999999998,R-P-M,0.1191405373260101,8.506295814503706e-06,0.08682719233029848
39-3091,2012,6.293316158060888e-05,0.9999999999999998,R-P-M,0.1191405373260101,7.4978906863383584e-06,0.08682719233029848
39-3091,2013,6.12347372417425e-05,0.9999999999999998,R-P-M,0.1191405373260101,7.295539497998245e-06,0.08682719233029848
39-3091,2014,5.5377755797256006e-05,0.9999999999999998,R-P-M,0.1191405373260101,6.597735581593653e-06,0.08682719233029848
39-3091,2015,7.621783486600958e-05,0.9999999999999998,R-P-M,0.1191405373260101,9.08063379976149e-06,0.08682719233029848
39-3091,2016,7.620761669030322e-05,0.9999999999999998,R-P-M,0.1191405373260101,9.079416400817343e-06,0.08682719233029848
39-3091,2017,5.430650591940915e-05,0.9999999999999998,R-P-M,0.1191405373260101,6.470106295536555e-06,0.08682719233029848
39-3091,2018,6.732564487478649e-05,0.9999999999999998,R-P-M,0.1191405373260101,8.021213506202201e-06,0.08682719233029848
39-3091,2019,7.761259815358671e-05,0.9999999999999998,R-P-M,0.1191405373260101,9.246806647286021e-06,0.08682719233029848
39-3091,2020,8.604210261331991e-05,0.9999999999999998,R-P-M,0.1205721061598931,1.0374277530513625e-05,0.08682719233029848
39-3091,2021,4.832853350448078e-05,0.9999999999999998,R-P-M,0.1205721061598931,5.827073072254209e-06,0.08682719233029848
39-3091,2022,4.651597705148512e-05,0.9999999999999998,R-P-M,0.1205721061598931,5.6085293231828155e-06,0.08682719233029848
39-3091,2023,5.2701332839621135e-05,0.9999999999999998,R-P-M,0.1205721061598931,6.354310697906661e-06,0.08682719233029848
39-3091,2024,4.52421367861204e-05,0.9999999999999998,R-P-M,0.1205721061598931,5.454939719476514e-06,0.08682719233029848
39-3093,2006,3.873986952411944e-06,0.9999999999999998,R-P-M,0.0,0.0,0.0
39-3093,2007,4.397081594130524e-06,0.9999999999999998,R-P-M,0.0,0.0,0.0
39-3093,2008,4.272387923057955e-06,0.9999999999999999,R-P-M,0.0,0.0,0.0
39-3093,2009,3.57929449719264e-06,0.9999999999999999,R-P-M,0.0,0.0,0.0
39-3093,2010,2.434679081906865e-06,0.9999999999999999,R-P-M,0.0,0.0,0.0
39-3093,2011,2.999880604751931e-06,0.9999999999999997,R-P-M,0.22730709586745218,6.818941482152578e-07,0.1855557071564843
39-3093,2012,3.40179251787075e-06,0.9999999999999997,R-P-M,0.22730709586745218,7.732515779808283e-07,0.1855557071564843
39-3093,2013,5.010114865233477e-06,0.9999999999999997,R-P-M,0.22730709586745218,1.1388346599785736e-06,0.1855557071564843
39-3093,2014,4.934651506686178e-06,0.9999999999999997,R-P-M,0.22730709586745218,1.1216813031027828e-06,0.1855557071564843
39-3093,2015,8.587925055325024e-06,0.9999999999999997,R-P-M,0.22730709586745218,1.9520963038532605e-06,0.1855557071564843
39-3093,2016,9.39545959195519e-06,0.9999999999999997,R-P-M,0.22730709586745218,2.1356546341873325e-06,0.1855557071564843
39-3093,2017,7.971597199179325e-06,0.9999999999999997,R-P-M,0.22730709586745218,1.8120006087705688e-06,0.1855557071564843
39-3093,2018,5.854403902155348e-06,0.9999999999999997,R-P-M,0.22730709586745218,1.3307475490340122e-06,0.1855557071564843
39-3093,2019,3.3536307844142404e-06,0.9999999999999997,R-P-M,0.22730709586745218,7.623040742168869e-07,0.1855557071564843
39-3093,2020,5.408360735694394e-06,0.9999999999999997,R-P-M,0.22730709586745218,1.2293587722342503e-06,0.1855557071564843
39-3093,2021,2.416426675224039e-06,0.9999999999999997,R-P-M,0.22730709586745218,5.492709299218196e-07,0.1855557071564843
39-3093,2023,2.291362297374832e-06,0.9999999999999997,R-P-M,0.22730709586745218,5.208429093964466e-07,0.1855557071564843
39-3093,2024,2.175102730101942e-06,0.9999999999999997,R-P-M,0.22730709586745218,4.944162847928393e-07,0.1855557071564843
39-5011,2006,2.582657968274629e-06,0.9999999999999996,R-P-M,0.3500015055667638,9.039341772601199e-07,0.3427445954110401
39-5011,2007,3.1407725672360886e-06,0.9999999999999996,R-P-M,0.3500015055667638,1.0992751271754213e-06,0.3427445954110401
39-5011,2008,3.051705659327111e-06,0.9999999999999996,R-P-M,0.3500015055667638,1.0681015753111028e-06,0.3427445954110401
39-5011,2009,2.9827454143272e-06,0.9999999999999996,R-P-M,0.3500015055667638,1.0439653857368812e-06,0.3427445954110401
39-5011,2012,2.2678616785805e-06,0.9999999999999996,R-P-M,0.3500015055667638,7.937550019203435e-07,0.3427445954110401
39-5011,2013,1.670038288411159e-06,0.9999999999999996,R-P-M,0.3500015055667638,5.845159152980472e-07,0.3427445954110401
39-5011,2018,1.463600975538837e-06,0.9999999999999993,R-P-M,0.3484096672083472,5.099327288132988e-07,0.3427239448525135
39-5011,2019,3.3536307844142404e-06,0.9999999999999993,R-P-M,0.3484096672083472,1.1684373855374347e-06,0.3427239448525135
39-5011,2020,3.4416841045327964e-06,0.9999999999999993,R-P-M,0.3484096672083472,1.199116013496531e-06,0.3427239448525135
39-5012,2006,9.426701584202398e-05,0.9999999999999992,R-P-M,0.3508060104294538,3.306943574263058e-05,0.342861144845326
39-5012,2007,0.0001174648940146,0.9999999999999992,R-P-M,0.3508060104294538,4.120739083478049e-05,0.342861144845326
39-5012,2008,0.000140378460329,0.9999999999999993,R-P-M,0.3508060104294538,4.924560761824587e-05,0.342861144845326
39-5012,2009,0.0001610682523736,0.9999999999999993,R-P-M,0.3508060104294538,5.6503711022027054e-05,0.342861144845326
39-5012,2010,0.000169818865963,0.9999999999999993,R-P-M,0.3508060104294538,5.957347886413424e-05,0.342861144845326
39-5012,2011,0.0001847926452527,0.9999999999999993,R-P-M,0.3508060104294538,6.482637063780507e-05,0.342861144845326
39-5012,2012,0.0001508128016256,0.9999999999999993,R-P-M,0.3508060104294538,5.2906037259965415e-05,0.342861144845326
39-5012,2013,0.0001391698573675,0.9999999999999993,R-P-M,0.3508060104294538,4.8821622435128835e-05,0.342861144845326
39-5012,2014,0.0001206248146078,0.9999999999999993,R-P-M,0.3508060104294538,4.231590997135484e-05,0.342861144845326
39-5012,2015,0.0001191574601426,0.9999999999999993,R-P-M,0.3508060104294538,4.180115320553219e-05,0.342861144845326
39-5012,2016,0.0001106576351941,0.9999999999999993,R-P-M,0.3994447975346906,4.4201616685774955e-05,0.4604696786069292
39-5012,2017,0.0001046272132392,0.9999999999999993,R-P-M,0.3994447975346906,4.179279600895117e-05,0.4604696786069292
39-5012,2018,9.123112747525416e-05,0.9999999999999993,R-P-M,0.3994447975346906,3.644179924321447e-05,0.4604696786069292
39-5012,2019,8.719440039477024e-05,0.9999999999999993,R-P-M,0.3399768422186662,2.9644076905364028e-05,0.3294814088906736
39-5012,2020,8.161708019320634e-05,0.9999999999999993,R-P-M,0.3399768422186662,2.7747917195193954e-05,0.3294814088906736
39-5012,2021,6.331037889086983e-05,0.9999999999999993,R-P-M,0.3399768422186662,2.152406269498524e-05,0.3294814088906736
39-5012,2022,7.831771646423514e-05,0.9999999999999993,R-P-M,0.3399768422186662,2.6626209933287522e-05,0.3294814088906736
