O*NET 2018 SOC Code,ONET_release_year,pct_healthcare_tot_emp,total_intensity,classification,task_intensity,bucket_weight,percentile
25-2031,2024,4.263201350999807e-05,0.9999999999999981,R-P-NM,0.1152718542978981,4.91427124975053e-06,0.1368017424983709
25-2032,2006,1.485028331757912e-05,0.9999999999999982,R-P-NM,0.0904534508226945,1.3432593717697258e-06,0.11621432821987325
25-2032,2007,2.0729098943758183e-05,0.9999999999999982,R-P-NM,0.0904534508226945,1.8750185319080026e-06,0.11621432821987325
25-2032,2008,7.934434714250488e-06,0.9999999999999982,R-P-NM,0.0904534508226945,7.176970002313379e-07,0.11621432821987325
25-2032,2009,1.372062890590512e-05,0.9999999999999982,R-P-NM,0.0904534508226945,1.2410782319967316e-06,0.11621432821987325
25-2032,2010,5.478027934290447e-06,0.9999999999999982,R-P-NM,0.0899575645994728,4.927900517766503e-07,0.11620154881809742
25-2032,2011,1.0199594056156563e-05,0.9999999999999982,R-P-NM,0.0899575645994728,9.175306411951044e-07,0.11620154881809742
25-2032,2012,2.834827098225625e-06,0.9999999999999982,R-P-NM,0.0899575645994728,2.5501414181696814e-07,0.11620154881809742
25-2032,2013,6.680153153644636e-06,0.9999999999999982,R-P-NM,0.0899575645994728,6.009303088533603e-07,0.11620154881809742
25-2032,2014,4.386356894832159e-06,0.9999999999999982,R-P-NM,0.0899575645994728,3.945859837232075e-07,0.11620154881809742
25-2032,2015,4.293962527662512e-06,0.9999999999999982,R-P-NM,0.0899575645994728,3.862744114699166e-07,0.11620154881809742
25-2032,2016,5.741669750639283e-06,0.9999999999999982,R-P-NM,0.0899575645994728,5.165066275019731e-07,0.11620154881809742
25-2032,2017,8.469822024128032e-06,0.9999999999999982,R-P-NM,0.0899575645994728,7.619245618815362e-07,0.11620154881809742
25-2032,2018,8.781605853233023e-06,0.9999999999999986,R-P-NM,0.0947438030989224,8.320027358510551e-07,0.12418939816120514
25-2032,2019,6.707261568828481e-06,0.9999999999999986,R-P-NM,0.0947438030989224,6.354714694100559e-07,0.12418939816120514
25-2032,2020,4.916691577903995e-06,0.9999999999999986,R-P-NM,0.0947438030989224,4.658260587550669e-07,0.12418939816120514
25-2032,2021,4.832853350448078e-06,0.9999999999999986,R-P-NM,0.0947438030989224,4.5788290624082076e-07,0.12418939816120514
25-2032,2022,3.7972226164477638e-06,0.9999999999999986,R-P-NM,0.0947438030989224,3.597633118955024e-07,0.12418939816120514
25-2032,2023,1.833089837899865e-06,0.9999999999999986,R-P-NM,0.0947438030989224,1.7367390266462063e-07,0.12418939816120514
25-2032,2024,1.7400821840815545e-06,0.9999999999999986,R-P-NM,0.0947438030989224,1.6486200382456587e-07,0.12418939816120514
25-2051,2019,0.0003722530170698,0.9999999999999983,R-P-NM,0.092560342128798,3.445586661845803e-05,0.1166070280880437
25-2051,2020,0.0003092599002501,0.9999999999999983,R-P-NM,0.092560342128798,2.8625202173867245e-05,0.1166070280880437
25-2051,2021,0.0002749893556404,0.9999999999999983,R-P-NM,0.092560342128798,2.5453108839853178e-05,0.1166070280880437
25-2051,2022,0.0002771972510005,0.9999999999999983,R-P-NM,0.092560342128798,2.5657472389768617e-05,0.1166070280880437
25-2051,2023,0.0003469122518224,0.9999999999999983,R-P-NM,0.092560342128798,3.2110316717353125e-05,0.1166070280880437
25-2051,2024,0.00043502054602029993,0.9999999999999983,R-P-NM,0.092560342128798,4.026565057269554e-05,0.1166070280880437
25-2056,2006,0.000716687586196,0.9999999999999982,R-P-NM,0.077856125983375,5.579851900159681e-05,0.09357037564682368
25-2056,2007,0.0006897136557649,0.9999999999999982,R-P-NM,0.077856125983375,5.3698433275686284e-05,0.09357037564682368
25-2056,2008,0.0007452265220076,0.9999999999999982,R-P-NM,0.077856125983375,5.8020449983576195e-05,0.09357037564682368
25-2056,2009,0.0006794694053837,0.9999999999999982,R-P-NM,0.077856125983375,5.290085562740234e-05,0.09357037564682368
25-2056,2010,0.00067684078477,0.999999999999998,R-P-NM,0.0741461762350759,5.01851561106436e-05,0.08635917909682927
25-2056,2015,0.0001819566621096,0.999999999999998,R-P-NM,0.0982608101140666,1.787920902454082e-05,0.1242005834341264
25-2056,2016,0.0001492834135166,0.999999999999998,R-P-NM,0.0982608101140666,1.4668709148734344e-05,0.1242005834341264
25-2056,2017,0.0001390047261606,0.999999999999998,R-P-NM,0.0982608101140666,1.3658717002224568e-05,0.1242005834341264
25-2056,2018,9.220686145894672e-05,0.999999999999998,R-P-NM,0.0982608101140666,9.060320905031628e-06,0.1242005834341264
25-2056,2019,7.569623770535001e-05,0.999999999999998,R-P-NM,0.0982608101140666,7.43797363951466e-06,0.1242005834341264
25-2057,2006,1.8078605777922405e-05,0.9999999999999979,R-P-NM,0.0831583402041054,1.50338684969638e-06,0.09759219974501923
25-2057,2007,1.8216480889969314e-05,0.9999999999999979,R-P-NM,0.0831583402041054,1.514852315169656e-06,0.09759219974501923
25-2057,2008,2.1361939615289777e-05,0.9999999999999979,R-P-NM,0.0831583402041054,1.7764234419478274e-06,0.09759219974501923
25-2057,2009,1.7299923403097758e-05,0.9999999999999979,R-P-NM,0.0831583402041054,1.4386329158597712e-06,0.09759219974501923
25-2057,2010,1.8260093114301488e-05,0.9999999999999982,R-P-NM,0.085286756844734,1.5573441214016352e-06,0.09848598847967936
25-2057,2011,1.379945078185888e-05,0.9999999999999982,R-P-NM,0.085286756844734,1.176910403423275e-06,0.09848598847967936
25-2057,2012,1.0772342973257374e-05,0.9999999999999982,R-P-NM,0.085286756844734,9.187381958082821e-07,0.09848598847967936
25-2057,2013,9.463550300996568e-06,0.9999999999999982,R-P-NM,0.085286756844734,8.07115513409005e-07,0.09848598847967936
25-2057,2014,9.321008401518336e-06,0.9999999999999982,R-P-NM,0.085286756844734,7.949585770880185e-07,0.09848598847967936
25-2057,2015,9.124670371282836e-06,0.9999999999999982,R-P-NM,0.085286756844734,7.782135432439492e-07,0.09848598847967936
25-2057,2016,9.917429569286031e-06,0.9999999999999982,R-P-NM,0.085286756844734,8.458254042004742e-07,0.09848598847967936
25-2057,2017,1.1957395798768986e-05,0.9999999999999982,R-P-NM,0.085286756844734,1.0198075079858563e-06,0.09848598847967936
25-2057,2018,1.0245206828771858e-05,0.9999999999999981,R-P-NM,0.077334056040656,7.92303399044356e-07,0.09195248775251472
25-2057,2019,4.790901120591772e-06,0.9999999999999981,R-P-NM,0.077334056040656,3.7049981574508645e-07,0.09195248775251472
25-2057,2020,3.933353262323196e-06,0.9999999999999981,R-P-NM,0.077334056040656,3.0418216161619976e-07,0.09195248775251472
25-2057,2021,1.933141340179231e-06,0.9999999999999981,R-P-NM,0.077334056040656,1.494976607359298e-07,0.09195248775251472
25-2057,2022,1.4239584811679117e-06,0.9999999999999981,R-P-NM,0.077334056040656,1.101204849822069e-07,0.09195248775251472
25-2058,2006,8.716470642926874e-05,0.9999999999999982,R-P-NM,0.0797125253685963,6.9481188724893465e-06,0.09589558669084881
25-2058,2007,8.040377772124387e-05,0.9999999999999982,R-P-NM,0.0797125253685963,6.409188171335641e-06,0.09589558669084881
25-2058,2008,7.690298261504321e-05,0.9999999999999982,R-P-NM,0.0797125253685963,6.130130952622363e-06,0.09589558669084881
25-2058,2009,7.75513807725072e-05,0.9999999999999982,R-P-NM,0.0797125253685963,6.181816407198162e-06,0.09589558669084881
25-2058,2010,5.660628865433461e-05,0.9999999999999979,R-P-NM,0.0784727231269053,4.44204961681329e-06,0.09384033975714497
25-2058,2011,7.979682408640137e-05,0.9999999999999979,R-P-NM,0.0784727231269053,6.261874082938556e-06,0.09384033975714497
25-2058,2012,8.220998584854313e-05,0.9999999999999979,R-P-NM,0.0784727231269053,6.451241457759541e-06,0.09384033975714497
25-2058,2013,6.51314932480352e-05,0.9999999999999979,R-P-NM,0.0784727231269053,5.11104563649498e-06,0.09384033975714497
25-2058,2014,9.211349479147532e-05,0.9999999999999979,R-P-NM,0.0784727231269053,7.228396773023091e-06,0.09384033975714497
25-2058,2015,9.2320194344744e-05,0.9999999999999979,R-P-NM,0.0784727231269053,7.2446170498372e-06,0.09384033975714497
25-2058,2016,0.00010752581533009998,0.9999999999999979,R-P-NM,0.0784727231269053,8.437843535393703e-06,0.09384033975714497
25-2058,2017,0.00010911123666370001,0.9999999999999979,R-P-NM,0.0784727231269053,8.562255864744789e-06,0.09384033975714497
25-2058,2018,9.07432604834079e-05,0.9999999999999981,R-P-NM,0.08236075757238201,7.473683678001484e-06,0.09757563436437415
25-2058,2019,8.048713882594178e-05,0.9999999999999981,R-P-NM,0.08236075757238201,6.628981728538059e-06,0.09757563436437415
25-2058,2020,3.5891848518699164e-05,0.9999999999999981,R-P-NM,0.08236075757238201,2.9560798346732458e-06,0.09757563436437415
25-2058,2021,4.252910948394309e-05,0.9999999999999981,R-P-NM,0.08236075757238201,3.502729675976336e-06,0.09757563436437415
25-2058,2022,3.749757333742168e-05,0.9999999999999981,R-P-NM,0.08236075757238201,3.088328547196008e-06,0.09757563436437415
25-2058,2023,4.628551840697161e-05,0.9999999999999981,R-P-NM,0.08236075757238201,3.812110360628621e-06,0.09757563436437415
25-2058,2024,4.8287280608263134e-05,0.9999999999999981,R-P-NM,0.08236075757238201,3.97697701200675e-06,0.09757563436437415
25-3011,2006,0.0004229102423049,0.9999999999999979,R-P-NM,0.12406010899225689,5.2466290754287775e-05,0.14430843981047262
25-3011,2007,0.000355535454611,0.9999999999999979,R-P-NM,0.12406010899225689,4.410776724965236e-05,0.14430843981047262
25-3011,2008,0.0003558288798774,0.9999999999999979,R-P-NM,0.12406010899225689,4.414416962018302e-05,0.14430843981047262
25-3011,2009,0.0003448053698961,0.9999999999999979,R-P-NM,0.12406010899225689,4.277659177042571e-05,0.14430843981047262
25-3011,2010,0.0003530284668763,0.9999999999999984,R-P-NM,0.1300130602287754,4.589831132646071e-05,0.14535882598325447
25-3011,2011,0.0003425863650626,0.9999999999999984,R-P-NM,0.1300130602287754,4.454070171444112e-05,0.14535882598325447
25-3011,2012,0.0002942550527957,0.9999999999999984,R-P-NM,0.1300130602287754,3.825699990174889e-05,0.14535882598325447
25-3011,2013,0.0002805664324529,0.9999999999999984,R-P-NM,0.1300130602287754,3.6477300480671584e-05,0.14535882598325447
25-3011,2014,0.0002681160651966,0.9999999999999984,R-P-NM,0.1300130602287754,3.485859013270788e-05,0.14535882598325447
25-3011,2015,0.0002613949688714,0.9999999999999984,R-P-NM,0.1300130602287754,3.3984759831376256e-05,0.14535882598325447
25-3011,2016,0.00023906224961740003,0.9999999999999984,R-P-NM,0.1300130602287754,3.1081214657933616e-05,0.14535882598325447
25-3011,2017,0.0002177242485025,0.9999999999999984,R-P-NM,0.1300130602287754,2.8306995833820438e-05,0.14535882598325447
25-3011,2018,0.0001917317277955,0.9999999999999982,R-P-NM,0.1249724953185054,2.396119245433212e-05,0.144654946298121
25-3011,2019,0.0001633697282121,0.9999999999999982,R-P-NM,0.1249724953185054,2.0416722594172207e-05,0.144654946298121
25-3011,2020,0.0001445507323903,0.9999999999999982,R-P-NM,0.1249724953185054,1.8064865726933326e-05,0.144654946298121
25-3011,2021,0.0001580343045596,0.9999999999999982,R-P-NM,0.1249724953185054,1.97499413867379e-05,0.144654946298121
25-3011,2022,0.00011439133132039999,0.9999999999999982,R-P-NM,0.1249724953185054,1.4295770117916313e-05,0.144654946298121
25-3011,2023,0.0001159429322471,0.9999999999999982,R-P-NM,0.1249724953185054,1.4489677557464519e-05,0.144654946298121
25-3011,2024,0.0001139753830573,0.9999999999999982,R-P-NM,0.12746077336957878,1.452739046957747e-05,0.14535882598325447
25-3021,2006,0.0008057892861015,0.999999999999999,R-P-NM,0.0612418418358843,4.9348020012478236e-05,0.06482030784860784
25-3021,2007,0.0008982609542293,0.999999999999999,R-P-NM,0.0612418418358843,5.501115528626135e-05,0.06482030784860784
25-3021,2008,0.0009844802456988,0.999999999999999,R-P-NM,0.0612418418358843,6.029138349763849e-05,0.06482030784860784
25-3021,2009,0.0009282303729384,0.999999999999999,R-P-NM,0.0612418418358843,5.684653768675745e-05,0.06482030784860784
25-3021,2010,0.0008223128599138,0.999999999999999,R-P-NM,0.0612418418358843,5.035995410645467e-05,0.06482030784860784
25-3021,2011,0.0007367706765269,0.9999999999999987,R-P-NM,0.0715737554769713,5.273344424433913e-05,0.07804662215156975
25-3021,2012,0.0006321664429042,0.9999999999999987,R-P-NM,0.0715737554769713,4.524652640517201e-05,0.07804662215156975
25-3021,2013,0.0006273777170129,0.9999999999999987,R-P-NM,0.0715737554769713,4.4903779309181864e-05,0.07804662215156975
25-3021,2014,0.0006628881857313,0.9999999999999987,R-P-NM,0.0715737554769713,4.744539691410526e-05,0.07804662215156975
25-3021,2015,0.0006167203680354,0.9999999999999987,R-P-NM,0.0715737554769713,4.4140992819433525e-05,0.07804662215156975
25-3021,2016,0.0006874344601445,0.9999999999999987,R-P-NM,0.0715737554769713,4.920226595682628e-05,0.07804662215156975
25-3021,2017,0.0007114650500265,0.9999999999999987,R-P-NM,0.0715737554769713,5.0922225521007926e-05,0.07804662215156975
25-3021,2018,0.0006869167245194,0.9999999999999987,R-P-NM,0.0715737554769713,4.9165209673793655e-05,0.07804662215156975
25-3021,2019,0.000648688011728,0.9999999999999986,R-P-NM,0.06232166535736661,4.042731718824798e-05,0.06482030784860784
25-3021,2020,0.0006136031089223,0.9999999999999986,R-P-NM,0.06232166535736661,3.8240767616495405e-05,0.06482030784860784
25-3021,2021,0.0006157055168469,0.9999999999999986,R-P-NM,0.06232166535736661,3.837179317961701e-05,0.06482030784860784
25-3021,2022,0.0005857215885869,0.9999999999999986,R-P-NM,0.06232166535736661,3.6503144836498e-05,0.06482030784860784
25-3021,2023,0.0006012534668309,0.9999999999999986,R-P-NM,0.06232166535736661,3.747111735479193e-05,0.06482030784860784
25-3021,2024,0.0006360000382816,0.9999999999999986,R-P-NM,0.06232166535736661,3.963658155305828e-05,0.06482030784860784
25-4011,2006,1.936993476205972e-06,0.9999999999999996,R-P-NM,0.23648135383191698,4.580628396167796e-07,0.25313919720912803
25-4012,2023,1.833089837899865e-06,0.9999999999999994,R-P-NM,0.1059779529765451,1.9426710864273468e-07,0.13010011943382122
25-4022,2006,0.0001084716346675,1.9999999999999982,R-P-NM,0.36395438638072264,1.973936361756196e-05,0.5105986272408947
25-4022,2007,9.547948604397708e-05,1.9999999999999982,R-P-NM,0.36395438638072264,1.737508887754124e-05,0.5105986272408947
25-4022,2008,8.361673506556284e-05,1.9999999999999976,R-P-NM,0.3357796120889403,1.4038397432229208e-05,0.43298041302964346
