O*NET 2018 SOC Code,ONET_release_year,pct_healthcare_tot_emp,total_intensity,classification,task_intensity,bucket_weight,percentile
25-2021,2020,9.53838166113375e-05,0.9999999999999983,R-I-M,0.0427973207763346,4.08217179638649e-06,0.011036087771439447
25-2021,2021,3.3829973453136544e-05,0.9999999999999983,R-I-M,0.0427973207763346,1.4478322257287709e-06,0.011036087771439447
25-2021,2022,6.075556186316424e-05,0.9999999999999983,R-I-M,0.0427973207763346,2.600175270004285e-06,0.011036087771439447
25-2021,2023,6.324159940754537e-05,0.9999999999999983,R-I-M,0.0427973207763346,2.706571016253176e-06,0.011036087771439447
25-2021,2024,8.656908865805731e-05,0.9999999999999981,R-I-M,0.0417489194110683,3.6141659058748685e-06,0.011036087771439447
25-2022,2006,1.3558954333441803e-05,0.9999999999999978,R-I-M,0.0492435540024155,6.676910999351286e-07,0.02628485884494626
25-2022,2007,2.0729098943758183e-05,0.9999999999999978,R-I-M,0.0492435540024155,1.0207745032583726e-06,0.02628485884494626
25-2022,2008,1.7699892824097248e-05,0.999999999999998,R-I-M,0.0492435540024155,8.716056281204011e-07,0.02628485884494626
25-2022,2009,1.908957065169408e-05,0.999999999999998,R-I-M,0.0492435540024155,9.400383032696254e-07,0.02628485884494626
25-2022,2010,1.4608074491441191e-05,0.9999999999999982,R-I-M,0.0427444523778841,6.244141444319926e-07,0.011036087771439447
25-2022,2011,6.599737330454248e-06,0.9999999999999982,R-I-M,0.0427444523778841,2.82102158028146e-07,0.011036087771439447
25-2022,2012,2.381254762509525e-05,0.9999999999999982,R-I-M,0.0427444523778841,1.0178543079569829e-06,0.011036087771439447
25-2022,2013,3.006068919140087e-05,0.9999999999999982,R-I-M,0.0427444523778841,1.284927697588212e-06,0.011036087771439447
25-2022,2014,2.851131981640903e-05,0.9999999999999982,R-I-M,0.0427444523778841,1.2187007521231212e-06,0.011036087771439447
25-2022,2015,1.9322831374481305e-05,0.9999999999999982,R-I-M,0.0427444523778841,8.259438454924024e-07,0.011036087771439447
25-2022,2016,1.357121941060194e-05,0.9999999999999982,R-I-M,0.0427444523778841,5.80094341806292e-07,0.011036087771439447
25-2022,2017,1.0462721323922865e-05,0.9999999999999982,R-I-M,0.0427444523778841,4.472232933734942e-07,0.011036087771439447
25-2022,2018,4.390802926616511e-06,0.9999999999999984,R-I-M,0.0476013377191971,2.0900809296831184e-07,0.01943760972409787
25-2022,2019,9.102712129124369e-06,0.9999999999999984,R-I-M,0.0476013377191971,4.3330127421908143e-07,0.01943760972409787
25-2022,2020,1.1308390629179188e-05,0.9999999999999984,R-I-M,0.0476013377191971,5.382945214001632e-07,0.01943760972409787
25-2022,2021,8.69913603080654e-06,0.9999999999999984,R-I-M,0.0476013377191971,4.1409051206765853e-07,0.01943760972409787
25-2022,2022,2.3732641352798527e-06,0.9999999999999984,R-I-M,0.0476013377191971,1.1297054760031471e-07,0.01943760972409787
25-2022,2023,1.8330898378998649e-06,0.9999999999999984,R-I-M,0.0476013377191971,8.725752844349987e-08,0.01943760972409787
25-2022,2024,2.175102730101942e-06,0.999999999999998,R-I-M,0.0454928072814935,9.895152931797822e-08,0.012663613225587761
25-2031,2006,7.42514165878956e-05,0.9999999999999984,R-I-M,0.0285003184551058,2.1161890184977533e-06,0.0045300340880325115
25-2031,2007,7.098146001953561e-05,0.9999999999999984,R-I-M,0.0285003184551058,2.0229942149651283e-06,0.0045300340880325115
25-2031,2008,5.371001960415716e-05,0.9999999999999984,R-I-M,0.0285003184551058,1.530752662948457e-06,0.0045300340880325115
25-2031,2009,5.726871195508224e-05,0.9999999999999984,R-I-M,0.0285003184551058,1.632176528233571e-06,0.0045300340880325115
25-2031,2010,5.843229796576476e-05,0.9999999999999982,R-I-M,0.0237045994108338,1.3851142159329349e-06,0.0004623221347807451
25-2031,2011,7.199713451404634e-05,0.9999999999999982,R-I-M,0.0237045994108338,1.7066632323833878e-06,0.0004623221347807451
25-2031,2012,6.3500127000254e-05,0.9999999999999982,R-I-M,0.0237045994108338,1.505245073078095e-06,0.0004623221347807451
25-2031,2013,8.405859385002834e-05,0.9999999999999982,R-I-M,0.0237045994108338,1.992575294252903e-06,0.0004623221347807451
25-2031,2014,7.237488876473062e-05,0.9999999999999982,R-I-M,0.0237045994108338,1.7156177455715982e-06,0.0004623221347807451
25-2031,2015,7.568108955005176e-05,0.9999999999999982,R-I-M,0.0237045994108338,1.7939899107594204e-06,0.0004623221347807451
25-2031,2016,7.046594693966393e-05,0.9999999999999982,R-I-M,0.0237045994108338,1.6703670443098063e-06,0.0004623221347807451
25-2031,2017,6.526745206828072e-05,0.9999999999999982,R-I-M,0.0237045994108338,1.5471388058443932e-06,0.0004623221347807451
25-2031,2018,7.366791576878812e-05,0.9999999999999981,R-I-M,0.0266529239184866,1.963465354218993e-06,0.0005402775855368766
25-2031,2019,6.755170580034398e-05,0.9999999999999981,R-I-M,0.0266529239184866,1.8004504752605615e-06,0.0005402775855368766
25-2031,2020,5.654195314589594e-05,0.9999999999999981,R-I-M,0.0266529239184866,1.5070083754002014e-06,0.0005402775855368766
25-2031,2021,3.914611213862943e-05,0.9999999999999981,R-I-M,0.0266529239184866,1.043358348535437e-06,0.0005402775855368766
25-2031,2022,4.461736574326124e-05,0.9999999999999981,R-I-M,0.0266529239184866,1.1891832545984345e-06,0.0005402775855368766
25-2031,2023,5.636751251542087e-05,0.9999999999999981,R-I-M,0.0266529239184866,1.5023590225478565e-06,0.0005402775855368766
25-2031,2024,4.263201350999807e-05,0.9999999999999981,R-I-M,0.0266529239184866,1.1362678125738737e-06,0.0005402775855368766
25-2032,2006,1.485028331757912e-05,0.9999999999999982,R-I-M,0.0690550186399539,1.0254865913040244e-06,0.04476274997179428
25-2032,2007,2.0729098943758183e-05,0.9999999999999982,R-I-M,0.0690550186399539,1.4314483139506727e-06,0.04476274997179428
25-2032,2008,7.934434714250488e-06,0.9999999999999982,R-I-M,0.0690550186399539,5.479125370900658e-07,0.04476274997179428
25-2032,2009,1.372062890590512e-05,0.9999999999999982,R-I-M,0.0690550186399539,9.474782848491702e-07,0.04476274997179428
25-2032,2010,5.478027934290447e-06,0.9999999999999982,R-I-M,0.0693078046554038,3.796700899666482e-07,0.04479031772084072
25-2032,2011,1.0199594056156563e-05,0.9999999999999982,R-I-M,0.0693078046554038,7.06911472408518e-07,0.04479031772084072
25-2032,2012,2.834827098225625e-06,0.9999999999999982,R-I-M,0.0693078046554038,1.9647564275566715e-07,0.04479031772084072
25-2032,2013,6.680153153644636e-06,0.9999999999999982,R-I-M,0.0693078046554038,4.629867498409829e-07,0.04479031772084072
25-2032,2014,4.386356894832159e-06,0.9999999999999982,R-I-M,0.0693078046554038,3.0400876681591137e-07,0.04479031772084072
25-2032,2015,4.293962527662512e-06,0.9999999999999982,R-I-M,0.0693078046554038,2.9760511606485784e-07,0.04479031772084072
25-2032,2016,5.741669750639283e-06,0.9999999999999982,R-I-M,0.0693078046554038,3.979425254731492e-07,0.04479031772084072
25-2032,2017,8.469822024128032e-06,0.9999999999999982,R-I-M,0.0693078046554038,5.870247703143035e-07,0.04479031772084072
25-2032,2018,8.781605853233023e-06,0.9999999999999986,R-I-M,0.0621210221172627,5.455223314337729e-07,0.029725282315960076
25-2032,2019,6.707261568828481e-06,0.9999999999999986,R-I-M,0.0621210221172627,4.1666194426346074e-07,0.029725282315960076
25-2032,2020,4.916691577903995e-06,0.9999999999999986,R-I-M,0.0621210221172627,3.0542990625473376e-07,0.029725282315960076
25-2032,2021,4.832853350448078e-06,0.9999999999999986,R-I-M,0.0621210221172627,3.0022178987267264e-07,0.029725282315960076
25-2032,2022,3.7972226164477638e-06,0.9999999999999986,R-I-M,0.0621210221172627,2.35887350140522e-07,0.029725282315960076
25-2032,2023,1.833089837899865e-06,0.9999999999999986,R-I-M,0.0621210221172627,1.1387341436310717e-07,0.029725282315960076
25-2032,2024,1.7400821840815545e-06,0.9999999999999986,R-I-M,0.0621210221172627,1.0809568384318519e-07,0.029725282315960076
25-2051,2019,0.0003722530170698,0.9999999999999983,R-I-M,0.0658302628408944,2.4505513957020924e-05,0.03421902564724898
25-2051,2020,0.0003092599002501,0.9999999999999983,R-I-M,0.0658302628408944,2.03586605196129e-05,0.03421902564724898
25-2051,2021,0.0002749893556404,0.9999999999999983,R-I-M,0.0658302628408944,1.810262156025575e-05,0.03421902564724898
25-2051,2022,0.0002771972510005,0.9999999999999983,R-I-M,0.0658302628408944,1.8247967892136322e-05,0.03421902564724898
25-2051,2023,0.0003469122518224,0.9999999999999983,R-I-M,0.0658302628408944,2.2837324720195176e-05,0.03421902564724898
25-2051,2024,0.00043502054602029993,0.9999999999999983,R-I-M,0.0658302628408944,2.863751688570579e-05,0.03421902564724898
25-2056,2006,0.000716687586196,0.9999999999999982,R-I-M,0.0742118519039835,5.318671300820105e-05,0.0516048945234183
25-2056,2007,0.0006897136557649,0.9999999999999982,R-I-M,0.0742118519039835,5.118492767777989e-05,0.0516048945234183
25-2056,2008,0.0007452265220076,0.9999999999999982,R-I-M,0.0742118519039835,5.5304640286148806e-05,0.0516048945234183
25-2056,2009,0.0006794694053837,0.9999999999999982,R-I-M,0.0742118519039835,5.042468288562295e-05,0.0516048945234183
25-2056,2010,0.00067684078477,0.999999999999998,R-I-M,0.0748138045091287,5.063703415558813e-05,0.05243949898427141
25-2056,2015,0.0001819566621096,0.999999999999998,R-I-M,0.0196474631815129,3.574986819429356e-06,0.0
25-2056,2016,0.0001492834135166,0.999999999999998,R-I-M,0.0196474631815129,2.9330403706779696e-06,0.0
25-2056,2017,0.0001390047261606,0.999999999999998,R-I-M,0.0196474631815129,2.731090239296677e-06,0.0
25-2056,2018,9.220686145894672e-05,0.999999999999998,R-I-M,0.0196474631815129,1.8116309155975199e-06,0.0
25-2056,2019,7.569623770535001e-05,0.999999999999998,R-I-M,0.0196474631815129,1.4872390432949157e-06,0.0
25-2057,2006,1.8078605777922405e-05,0.9999999999999979,R-I-M,0.046862255444041295,8.472042420371224e-07,0.01272807839676488
25-2057,2007,1.8216480889969314e-05,0.9999999999999979,R-I-M,0.046862255444041295,8.536653807572405e-07,0.01272807839676488
25-2057,2008,2.1361939615289777e-05,0.9999999999999979,R-I-M,0.046862255444041295,1.001068671031897e-06,0.01272807839676488
25-2057,2009,1.7299923403097758e-05,0.9999999999999979,R-I-M,0.046862255444041295,8.10713429678317e-07,0.01272807839676488
25-2057,2010,1.8260093114301488e-05,0.9999999999999982,R-I-M,0.046941331118277,8.571530771289976e-07,0.01272807839676488
25-2057,2011,1.379945078185888e-05,0.9999999999999982,R-I-M,0.046941331118277,6.477645884016054e-07,0.01272807839676488
25-2057,2012,1.0772342973257374e-05,0.9999999999999982,R-I-M,0.046941331118277,5.056681184273198e-07,0.01272807839676488
25-2057,2013,9.463550300996568e-06,0.9999999999999982,R-I-M,0.046941331118277,4.442316482335507e-07,0.01272807839676488
25-2057,2014,9.321008401518336e-06,0.9999999999999982,R-I-M,0.046941331118277,4.3754054173191486e-07,0.01272807839676488
25-2057,2015,9.124670371282836e-06,0.9999999999999982,R-I-M,0.046941331118277,4.2832417324351986e-07,0.01272807839676488
25-2057,2016,9.917429569286031e-06,0.9999999999999982,R-I-M,0.046941331118277,4.655373452540477e-07,0.01272807839676488
25-2057,2017,1.1957395798768986e-05,0.9999999999999982,R-I-M,0.046941331118277,5.612960755023102e-07,0.01272807839676488
25-2057,2018,1.0245206828771858e-05,0.9999999999999981,R-I-M,0.0349188182563107,3.577505152521985e-07,0.005554526792928008
25-2057,2019,4.790901120591772e-06,0.9999999999999981,R-I-M,0.0349188182563107,1.6729260551389966e-07,0.005554526792928008
25-2057,2020,3.933353262323196e-06,0.9999999999999981,R-I-M,0.0349188182563107,1.3734804770493073e-07,0.005554526792928008
25-2057,2021,1.933141340179231e-06,0.9999999999999981,R-I-M,0.0349188182563107,6.75030111214796e-08,0.005554526792928008
25-2057,2022,1.4239584811679117e-06,0.9999999999999981,R-I-M,0.0349188182563107,4.972294740843462e-08,0.005554526792928008
25-2058,2006,8.716470642926874e-05,0.9999999999999982,R-I-M,0.0197790400103032,1.724034215950842e-06,1.0044264376341119e-05
25-2058,2007,8.040377772124387e-05,0.9999999999999982,R-I-M,0.0197790400103032,1.5903095365280104e-06,1.0044264376341119e-05
25-2058,2008,7.690298261504321e-05,0.9999999999999982,R-I-M,0.0197790400103032,1.5210671700545939e-06,1.0044264376341119e-05
25-2058,2009,7.75513807725072e-05,0.9999999999999982,R-I-M,0.0197790400103032,1.5338918631536809e-06,1.0044264376341119e-05
25-2058,2010,5.660628865433461e-05,0.9999999999999979,R-I-M,0.0210458726581576,1.1913287426700401e-06,0.0002365370266309497
25-2058,2011,7.979682408640137e-05,0.9999999999999979,R-I-M,0.0210458726581576,1.67939379824781e-06,0.0002365370266309497
25-2058,2012,8.220998584854313e-05,0.9999999999999979,R-I-M,0.0210458726581576,1.7301808933973806e-06,0.0002365370266309497
25-2058,2013,6.51314932480352e-05,0.9999999999999979,R-I-M,0.0210458726581576,1.3707491129338033e-06,0.0002365370266309497
