O*NET 2018 SOC Code,ONET_release_year,pct_healthcare_tot_emp,total_intensity,classification,task_intensity_core,bucket_weight,percentile
11-1011,2006,0.0013881786579474,0.9999999999999992,NR-P-NM,0.1619265138695016,0.00022478293070946596,0.36755430708659587
11-1011,2007,0.0013511603584247,0.9999999999999992,NR-P-NM,0.1619265138695016,0.0002187886865183781,0.36755430708659587
11-1011,2008,0.0014068363089495,0.9999999999999991,NR-P-NM,0.1619265138695016,0.00022780409909322984,0.36755430708659587
11-1011,2009,0.0014901796089976,0.9999999999999991,NR-P-NM,0.1619265138695016,0.0002412995891243986,0.36755430708659587
11-1011,2010,0.0014973276353725,0.9999999999999991,NR-P-NM,0.1619265138695016,0.00024245704411633338,0.36755430708659587
11-1011,2011,0.0014657416634814,0.9999999999999991,NR-P-NM,0.0702089132369472,0.00010290812927914437,0.07440460934849066
11-1011,2012,0.001362417903407,0.9999999999999991,NR-P-NM,0.0702089132369472,9.565388037276564e-05,0.07440460934849066
11-1011,2013,0.0013304638364341,0.9999999999999991,NR-P-NM,0.0702089132369472,9.341042005709771e-05,0.07440460934849066
11-1011,2014,0.0012857508647975,0.999999999999999,NR-P-NM,0.1458414927463205,0.0001875158254219401,0.3426978189544771
11-1011,2015,0.0012194853578559,0.999999999999999,NR-P-NM,0.1458414927463205,0.00017785156497198548,0.3426978189544771
11-1011,2016,0.0011138839316238,0.999999999999999,NR-P-NM,0.1458414927463205,0.00016245049533415555,0.3426978189544771
11-1011,2017,0.0009466271674024,0.999999999999999,NR-P-NM,0.1458414927463205,0.00013805751916818717,0.3426978189544771
11-1011,2018,0.0008176650783342,0.999999999999999,NR-P-NM,0.1458414927463205,0.00011924949559079693,0.3426978189544771
11-1011,2019,0.0008096622893798,0.999999999999999,NR-P-NM,0.1458414927463205,0.00011808235690355348,0.3426978189544771
11-1011,2020,0.00096121320348,0.999999999999999,NR-P-NM,0.1458414927463205,0.00014018476844299604,0.3426978189544771
11-1011,2021,0.0006978640238045,0.999999999999999,NR-P-NM,0.1458414927463205,0.00010177753096560213,0.3426978189544771
11-1011,2022,0.0007347625762825,0.999999999999999,NR-P-NM,0.1458414927463205,0.00010715887093917209,0.3426978189544771
11-1011,2023,0.0008070178011352,0.9999999999999992,NR-P-NM,0.0537119727870891,4.334651817327038e-05,0.03259312198291909
11-1011,2024,0.0007869521677506999,0.9999999999999992,NR-P-NM,0.0537119727870891,4.2268753418966405e-05,0.03259312198291909
11-1021,2006,0.006552848930004099,0.9999999999999999,NR-P-NM,0.1691250644749067,0.0011082509977812668,0.3985847378404074
11-1021,2007,0.006256418953933601,0.9999999999999999,NR-P-NM,0.1691250644749067,0.0010581172589660488,0.3985847378404074
11-1021,2008,0.0061998452174884,0.9999999999999996,NR-P-NM,0.1187047865355866,0.0007359513030956383,0.2907968971099085
11-1021,2009,0.0063079100022184,0.9999999999999996,NR-P-NM,0.1187047865355866,0.0007487791102990271,0.2907968971099085
11-1021,2010,0.0065249399395096,0.9999999999999996,NR-P-NM,0.1187047865355866,0.0007745416026770107,0.2907968971099085
11-1021,2011,0.0067353319337885,0.9999999999999996,NR-P-NM,0.1187047865355866,0.0007995161394466839,0.2907968971099085
11-1021,2012,0.0066051471388651,0.9999999999999996,NR-P-NM,0.1187047865355866,0.0007840625811551226,0.2907968971099085
11-1021,2013,0.0066718029622017,0.9999999999999996,NR-P-NM,0.1187047865355866,0.0007919749464356475,0.2907968971099085
11-1021,2014,0.0065565069685495,0.9999999999999996,NR-P-NM,0.1187047865355866,0.0007782887601207548,0.2907968971099085
11-1021,2015,0.0064699280385546,0.9999999999999998,NR-P-NM,0.1277259351989459,0.0008263776093942682,0.30005160842891193
11-1021,2016,0.0061608116424354,0.9999999999999998,NR-P-NM,0.1277259351989459,0.0007868954286146156,0.30005160842891193
11-1021,2017,0.0058317215760238,0.9999999999999998,NR-P-NM,0.1277259351989459,0.0007448620921175107,0.30005160842891193
11-1021,2018,0.0057690271785816,0.9999999999999998,NR-P-NM,0.1277259351989459,0.0007368543915724714,0.30005160842891193
11-1021,2019,0.0059158047037059,0.9999999999999998,NR-P-NM,0.1277259351989459,0.0007556016882351594,0.30005160842891193
11-1021,2020,0.0059550968391564,0.9999999999999998,NR-P-NM,0.1277259351989459,0.0007606203129815381,0.30005160842891193
11-1021,2021,0.0068003079494147,0.9999999999999998,NR-P-NM,0.1277259351989459,0.0008685756924798188,0.30005160842891193
11-1021,2022,0.0076352653760214,0.9999999999999998,NR-P-NM,0.1277259351989459,0.0009752214106444649,0.30005160842891193
11-1021,2023,0.007663232067339499,0.9999999999999997,NR-P-NM,0.1240482739789848,0.0009506107110538726,0.297523611465352
11-1021,2024,0.0076106844526258,0.9999999999999997,NR-P-NM,0.1240482739789848,0.0009440922701469256,0.297523611465352
11-2011,2006,3.680287604791347e-05,0.9999999999999996,NR-P-NM,0.4602827874319133,1.6939730372844817e-05,0.8712638217718205
11-2011,2007,2.198540797065262e-05,0.9999999999999996,NR-P-NM,0.4602827874319133,1.0119504863559796e-05,0.8712638217718205
11-2011,2008,1.2817163769173869e-05,0.9999999999999996,NR-P-NM,0.4602827874319133,5.899519866646679e-06,0.8712638217718205
11-2011,2009,1.014133440871248e-05,0.9999999999999996,NR-P-NM,0.4602827874319133,4.667881669921356e-06,0.8712638217718205
11-2011,2010,8.521376786674029e-06,0.9999999999999993,NR-P-NM,0.2790493326036318,2.37788450518547e-06,0.5675770214972431
