O*NET 2018 SOC Code,ONET_release_year,pct_healthcare_tot_emp,total_intensity,classification,task_intensity_core,bucket_weight,percentile
31-9092,2013,0.0301135737371998,0.9999999999999993,R-P-NM,0.10543840959964859,0.0031751273222120954,0.07530793156948676
31-9092,2014,0.0306683108194422,0.9999999999999993,R-P-NM,0.10543840959964859,0.0032336179179096834,0.07530793156948676
31-9092,2015,0.030765168020069497,0.9999999999999993,R-P-NM,0.10543840959964859,0.0032438303871020996,0.07530793156948676
31-9092,2016,0.0309074082676908,0.9999999999999993,R-P-NM,0.10543840959964859,0.00325882797259235,0.07530793156948676
31-9092,2017,0.0306004705235243,0.9999999999999993,R-P-NM,0.10543840959964859,0.0032264649450013307,0.07530793156948676
31-9092,2018,0.0311493316954007,0.9999999999999993,R-P-NM,0.10543840959964859,0.0032843359940549774,0.07530793156948676
31-9092,2019,0.0321368856268171,0.9999999999999993,R-P-NM,0.10543840959964859,0.0033884621099774036,0.07530793156948676
31-9092,2020,0.032967892037319,0.9999999999999993,R-P-NM,0.10543840959964859,0.0034760821042678362,0.07530793156948676
31-9092,2021,0.0331451581333777,0.9999999999999992,R-P-NM,0.10503810685053189,0.0034815046615915054,0.07530793156948676
31-9092,2022,0.0332741124822771,0.9999999999999992,R-P-NM,0.10503810685053189,0.003495049782270042,0.07530793156948676
31-9092,2023,0.032802684376758,0.9999999999999992,R-P-NM,0.10503810685053189,0.0034455318665501822,0.07530793156948676
31-9092,2024,0.0326630826773944,0.9999999999999992,R-P-NM,0.10503810685053189,0.0034308683683359127,0.07530793156948676
31-9093,2006,0.0025000129132896,0.9999999999999991,R-P-NM,0.2478783847363158,0.0006196991627661577,0.2588426996404999
31-9093,2007,0.0025082209721944,0.9999999999999991,R-P-NM,0.2478783847363158,0.0006217337631493,0.2588426996404999
31-9093,2008,0.0024700505606592,0.9999999999999996,R-P-NM,0.24787838473631602,0.0006122721431932346,0.2588426996404999
31-9093,2009,0.0025568093691611,0.9999999999999996,R-P-NM,0.24787838473631602,0.0006337777765063328,0.2588426996404999
31-9093,2010,0.0026677996039992,0.9999999999999996,R-P-NM,0.2331114703019087,0.0006218946881591036,0.2515592707441705
31-9093,2011,0.0027688897981859,0.9999999999999996,R-P-NM,0.2331114703019087,0.0006454599719590707,0.2515592707441705
31-9093,2012,0.002657933887296,0.9999999999999996,R-P-NM,0.2331114703019087,0.0006195948764328386,0.2515592707441705
31-9093,2013,0.0026603709934387,0.9999999999999996,R-P-NM,0.2331114703019087,0.0006201629938290452,0.2515592707441705
31-9093,2014,0.002579726148773,0.9999999999999996,R-P-NM,0.2753916631378091,0.0007104350745506919,0.2633198649542024
31-9093,2015,0.0025312909100568,0.9999999999999996,R-P-NM,0.2753916631378091,0.0006970964136061608,0.2633198649542024
31-9093,2016,0.0025404278796689,0.9999999999999996,R-P-NM,0.2753916631378091,0.0006996126588636767,0.2633198649542024
31-9093,2017,0.002465216433846,0.9999999999999996,R-P-NM,0.2753916631378091,0.0006789000537115091,0.2633198649542024
31-9093,2018,0.0024876337914239,0.9999999999999996,R-P-NM,0.2753916631378091,0.0006850736070980419,0.2633198649542024
31-9093,2019,0.0025204930795431,0.9999999999999996,R-P-NM,0.2753916631378091,0.0006941227811027128,0.2633198649542024
31-9093,2020,0.0026117465661824,0.9999999999999996,R-P-NM,0.2753916631378091,0.0007192532305554335,0.2633198649542024
31-9093,2021,0.0027566595510953,0.9999999999999996,R-P-NM,0.2753916631378091,0.0007591610584808613,0.2633198649542024
31-9093,2022,0.0027999770268029,0.9999999999999996,R-P-NM,0.2753916631378091,0.0007710903301589089,0.2633198649542024
31-9093,2023,0.002797295092635,0.9999999999999996,R-P-NM,0.2753916631378091,0.0007703517478479848,0.2633198649542024
31-9093,2024,0.0029163777405204,0.9999999999999996,R-P-NM,0.2753916631378091,0.0008031461162999992,0.2633198649542024
31-9094,2006,0.0048502316644194,0.9999999999999997,R-P-NM,0.6574265884252214,0.00318867125621123,0.7775779346140983
31-9094,2007,0.0045949502658662,0.9999999999999997,R-P-NM,0.6574265884252214,0.0030208424772719808,0.7775779346140983
31-9094,2008,0.0042040297162888,0.9999999999999997,R-P-NM,0.6574265884252214,0.002763840914017998,0.7775779346140983
31-9094,2009,0.003887113823951,0.9999999999999997,R-P-NM,0.6574265884252214,0.0025554919801006235,0.7775779346140983
31-9094,2010,0.0036818434416134,0.9999999999999997,R-P-NM,0.6574265884252214,0.0024205417729356742,0.7775779346140983
31-9094,2011,0.0033922649878533,0.9999999999999997,R-P-NM,0.6574265884252214,0.002230165197998721,0.7775779346140983
31-9094,2012,0.0030480060960119,0.9999999999999998,R-P-NM,0.7939727283652704,0.0024200337161245453,0.7989295593867421
31-9094,2013,0.0027255024866869,0.9999999999999998,R-P-NM,0.7939727283652704,0.0021639746455211274,0.7989295593867421
31-9094,2014,0.0023839849723411,0.9999999999999998,R-P-NM,0.7939727283652704,0.0018928190528714674,0.7989295593867421
31-9094,2015,0.0020696899383331,0.9999999999999998,R-P-NM,0.7939727283652704,0.0016432773672084803,0.7989295593867421
31-9094,2016,0.0017966206619726,0.9999999999999998,R-P-NM,0.7939727283652704,0.0014264678088238038,0.7989295593867421
