O*NET 2018 SOC Code,ONET_release_year,pct_healthcare_tot_emp,total_intensity,classification,task_intensity,bucket_weight,percentile
11-9051,2014,0.0004271215026342,0.9999999999999987,R-P-M,0.042576571239421,1.818536908479358e-05,0.0009899891351165223
11-9051,2015,0.0003928975712809,0.9999999999999987,R-P-M,0.042576571239421,1.6728231433436752e-05,0.0009899891351165223
11-9051,2016,0.0003737305037688,0.9999999999999987,R-P-M,0.042576571239421,1.5912163418057033e-05,0.0009899891351165223
11-9051,2017,0.000358721873963,0.9999999999999986,R-P-M,0.0414740565380543,1.4877651282178272e-05,0.0009899891351165223
11-9051,2018,0.0003502885001455,0.9999999999999986,R-P-M,0.0414740565380543,1.4527885059664729e-05,0.0009899891351165223
11-9051,2019,0.0003468612411308,0.9999999999999986,R-P-M,0.0414740565380543,1.4385742725518505e-05,0.0009899891351165223
11-9051,2020,0.0003412183955065,0.9999999999999986,R-P-M,0.0414740565380543,1.4151711027060774e-05,0.0009899891351165223
11-9051,2021,0.0002836884916713,0.9999999999999986,R-P-M,0.0414740565380543,1.176571254277086e-05,0.0009899891351165223
11-9051,2022,0.0002681788472866,0.9999999999999986,R-P-M,0.0414740565380543,1.1122464674674692e-05,0.0009899891351165223
11-9051,2023,0.0002584656671438,0.9999999999999986,R-P-M,0.0414740565380543,1.0719619692267898e-05,0.0009899891351165223
11-9051,2024,0.0002827633549132,0.9999999999999983,R-P-M,0.0439537355009774,1.2428505711223811e-05,0.0011104706812219225
11-9081,2006,1.1621960857235832e-05,0.999999999999999,R-P-M,0.0460249639856473,5.349003298968824e-07,0.0018769514144977594
11-9081,2007,7.537854161366613e-06,0.999999999999999,R-P-M,0.0460249639856473,3.469294663059604e-07,0.0018769514144977594
11-9081,2008,6.713752450519644e-06,0.9999999999999988,R-P-M,0.0453458775997807,3.044409968564919e-07,0.0014984154529044354
11-9081,2009,1.0737883491577918e-05,0.9999999999999988,R-P-M,0.0453458775997807,4.869187504897987e-07,0.0014984154529044354
11-9081,2010,9.73871632762746e-06,0.9999999999999988,R-P-M,0.0544121012707127,5.299040190656092e-07,0.010122229732930395
11-9081,2011,8.399665693305406e-06,0.9999999999999988,R-P-M,0.0544121012707127,4.5704346034426556e-07,0.010122229732930395
11-9081,2012,5.102688776806125e-06,0.9999999999999988,R-P-M,0.0544121012707127,2.7764801847650427e-07,0.010122229732930395
11-9081,2013,6.12347372417425e-06,0.9999999999999988,R-P-M,0.0544121012707127,3.3319107240831795e-07,0.010122229732930395
11-9081,2014,6.031240730394218e-06,0.9999999999999988,R-P-M,0.0544121012707127,3.281724814102578e-07,0.010122229732930395
11-9081,2015,6.440943791493768e-06,0.9999999999999988,R-P-M,0.0544121012707127,3.504652858617276e-07,0.010122229732930395
11-9081,2016,9.917429569286036e-06,0.9999999999999988,R-P-M,0.0544121012707127,5.396281820691531e-07,0.010122229732930395
11-9081,2017,8.96804684907674e-06,0.9999999999999989,R-P-M,0.0458848355115198,4.1149735452949007e-07,0.0014984154529044354
11-9081,2018,7.805871869540464e-06,0.9999999999999989,R-P-M,0.0458848355115198,3.5817114675786416e-07,0.0014984154529044354
11-9081,2019,5.269991232650949e-06,0.9999999999999989,R-P-M,0.0458848355115198,2.4181268085734054e-07,0.0014984154529044354
