O*NET 2018 SOC Code,ONET_release_year,pct_healthcare_tot_emp,total_intensity,classification,task_intensity_core,bucket_weight,percentile
25-2012,2006,0.000461650111829,0.9999999999999987,NR-I-M,0.0704128874945585,3.250611738606577e-05,0.038059162947882544
25-2012,2007,0.0005289061003224,0.9999999999999987,NR-I-M,0.0704128874945585,3.724180573718687e-05,0.038059162947882544
25-2012,2008,0.0005090245039757,0.9999999999999987,NR-I-M,0.0704128874945585,3.5841885130414457e-05,0.038059162947882544
25-2012,2009,0.0006078835154398,0.9999999999999987,NR-I-M,0.0704128874945585,4.280283358245941e-05,0.038059162947882544
25-2012,2010,0.0005514548120518,0.9999999999999981,NR-I-M,0.079123077023875,4.363280156916116e-05,0.04767226151157738
25-2012,2011,0.0005447783178229,0.9999999999999981,NR-I-M,0.079123077023875,4.3104536802038454e-05,0.04767226151157738
25-2012,2012,0.0004569741282339,0.9999999999999981,NR-I-M,0.079123077023875,3.615719914616907e-05,0.04767226151157738
25-2012,2013,0.0004258597635448,0.9999999999999981,NR-I-M,0.079123077023875,3.3695334872324465e-05,0.04767226151157738
25-2012,2014,0.0003635193276591,0.9999999999999981,NR-I-M,0.079123077023875,2.8762767762038278e-05,0.04767226151157738
25-2012,2015,0.0003113122832554,0.9999999999999981,NR-I-M,0.079123077023875,2.463198576649545e-05,0.04767226151157738
25-2012,2016,0.0003043084967837,0.9999999999999981,NR-I-M,0.079123077023875,2.4077824630036355e-05,0.04767226151157738
25-2012,2017,0.0002780094523213,0.9999999999999981,NR-I-M,0.079123077023875,2.1996963309383566e-05,0.04767226151157738
25-2012,2018,0.0002102706734856,0.9999999999999987,NR-I-M,0.0662829038990923,1.393735084344346e-05,0.037304741032060704
25-2012,2019,0.0001461224841779,0.9999999999999987,NR-I-M,0.0662829038990923,9.685422576260394e-06,0.037304741032060704
25-2012,2020,0.00011210056797609999,0.9999999999999987,NR-I-M,0.0662829038990923,7.43035117419351e-06,0.037304741032060704
25-2012,2021,9.424064033373752e-05,0.9999999999999987,NR-I-M,0.0662829038990923,6.246543306630055e-06,0.037304741032060704
25-2012,2022,7.73684108101232e-05,0.9999999999999987,NR-I-M,0.0662829038990923,5.128202938552897e-06,0.037304741032060704
25-2012,2023,5.911714727227067e-05,0.9999999999999987,NR-I-M,0.0662829038990923,3.918456191436409e-06,0.037304741032060704
25-2012,2024,4.828728060826313e-05,0.9999999999999987,NR-I-M,0.0662829038990923,3.2006211801060126e-06,0.037304741032060704
25-2021,2006,0.00012009359552469999,0.9999999999999982,NR-I-M,0.056460583475840806,6.780554475036197e-06,0.015060044557836235
25-2021,2007,0.0001319124478239,0.9999999999999982,NR-I-M,0.056460583475840806,7.447853771863815e-06,0.015060044557836235
25-2021,2008,0.00010986140373570001,0.9999999999999981,NR-I-M,0.056460583475840806,6.202838956392551e-06,0.015060044557836235
25-2021,2009,7.098934086098737e-05,0.9999999999999981,NR-I-M,0.056460583475840806,4.0080996055767015e-06,0.015060044557836235
