O*NET 2018 SOC Code,ONET_release_year,pct_healthcare_tot_emp,total_intensity,classification,task_intensity_core,bucket_weight,percentile
11-1011,2006,0.0013881786579474,0.9999999999999992,NR-I-NM,0.8380734861304976,0.001163395727237934,0.882134908649225
11-1011,2007,0.0013511603584247,0.9999999999999992,NR-I-NM,0.8380734861304976,0.0011323716719063219,0.882134908649225
11-1011,2008,0.0014068363089495,0.9999999999999991,NR-I-NM,0.8380734861304975,0.0011790322098562702,0.8790510464660414
11-1011,2009,0.0014901796089976,0.9999999999999991,NR-I-NM,0.8380734861304975,0.0012488800198732013,0.8790510464660414
11-1011,2010,0.0014973276353725,0.9999999999999991,NR-I-NM,0.8380734861304975,0.0012548705912561666,0.8790510464660414
11-1011,2011,0.0014657416634814,0.9999999999999991,NR-I-NM,0.8859594641540127,0.0012985876987661935,0.8910549478357985
11-1011,2012,0.001362417903407,0.9999999999999991,NR-I-NM,0.8859594641540127,0.0012070470356563001,0.8910549478357985
11-1011,2013,0.0013304638364341,0.9999999999999991,NR-I-NM,0.8859594641540127,0.0011787370276034484,0.8910549478357985
11-1011,2014,0.0012857508647975,0.999999999999999,NR-I-NM,0.8141472211019865,0.0010467904936043617,0.8584190719317457
11-1011,2015,0.0012194853578559,0.999999999999999,NR-I-NM,0.8141472211019865,0.0009928406152729435,0.8584190719317457
11-1011,2016,0.0011138839316238,0.999999999999999,NR-I-NM,0.8141472211019865,0.0009068655075616727,0.8584190719317457
11-1011,2017,0.0009466271674024,0.999999999999999,NR-I-NM,0.8141472211019865,0.0007706938777603097,0.8584190719317457
11-1011,2018,0.0008176650783342,0.999999999999999,NR-I-NM,0.8141472211019865,0.0006656997513179276,0.8584190719317457
11-1011,2019,0.0008096622893798,0.999999999999999,NR-I-NM,0.8141472211019865,0.0006591843029296373,0.8584190719317457
11-1011,2020,0.00096121320348,0.999999999999999,NR-I-NM,0.8141472211019865,0.0007825690584997811,0.8584190719317457
11-1011,2021,0.0006978640238045,0.999999999999999,NR-I-NM,0.8141472211019865,0.0005681640556874847,0.8584190719317457
11-1011,2022,0.0007347625762825,0.999999999999999,NR-I-NM,0.8141472211019865,0.0005982049096501344,0.8584190719317457
11-1011,2023,0.0008070178011352,0.9999999999999992,NR-I-NM,0.9041493817418995,0.0007296646459510988,0.9167775539492166
11-1011,2024,0.0007869521677506999,0.9999999999999992,NR-I-NM,0.9041493817418995,0.0007115223159322434,0.9167775539492166
11-1021,2006,0.006552848930004099,0.9999999999999999,NR-I-NM,0.6428777876427019,0.004212681022877882,0.6760855397924977
11-1021,2007,0.006256418953933601,0.9999999999999999,NR-I-NM,0.6428777876427019,0.004022112775670702,0.6760855397924977
11-1021,2008,0.0061998452174884,0.9999999999999996,NR-I-NM,0.5474734447054646,0.003394250617859076,0.5869822361982064
11-1021,2009,0.0063079100022184,0.9999999999999996,NR-I-NM,0.5474734447054646,0.003453413217806564,0.5869822361982064
11-1021,2010,0.0065249399395096,0.9999999999999996,NR-I-NM,0.5474734447054646,0.003572231345179588,0.5869822361982064
11-1021,2011,0.0067353319337885,0.9999999999999996,NR-I-NM,0.5474734447054646,0.00368741537502591,0.5869822361982064
11-1021,2012,0.0066051471388651,0.9999999999999996,NR-I-NM,0.5474734447054646,0.003616142656900922,0.5869822361982064
11-1021,2013,0.0066718029622017,0.9999999999999996,NR-I-NM,0.5474734447054646,0.003652634950112689,0.5869822361982064
11-1021,2014,0.0065565069685495,0.9999999999999996,NR-I-NM,0.5474734447054646,0.0035895134553071795,0.5869822361982064
11-1021,2015,0.0064699280385546,0.9999999999999998,NR-I-NM,0.6014610041250921,0.003891409414686138,0.6087285706169148
11-1021,2016,0.0061608116424354,0.9999999999999998,NR-I-NM,0.6014610041250921,0.0037054879566847543,0.6087285706169148
11-1021,2017,0.0058317215760238,0.9999999999999998,NR-I-NM,0.6014610041250921,0.00350755311489324,0.6087285706169148
11-1021,2018,0.0057690271785816,0.9999999999999998,NR-I-NM,0.6014610041250921,0.003469844879654637,0.6087285706169148
11-1021,2019,0.0059158047037059,0.9999999999999998,NR-I-NM,0.6014610041250921,0.0035581258372988944,0.6087285706169148
11-1021,2020,0.0059550968391564,0.9999999999999998,NR-I-NM,0.6014610041250921,0.003581758524541171,0.6087285706169148
11-1021,2021,0.0068003079494147,0.9999999999999998,NR-I-NM,0.6014610041250921,0.004090120047614812,0.6087285706169148
11-1021,2022,0.0076352653760214,0.9999999999999998,NR-I-NM,0.6014610041250921,0.004592314379823381,0.6087285706169148
11-1021,2023,0.007663232067339499,0.9999999999999997,NR-I-NM,0.6078939696405433,0.004658432561691717,0.6498728679932915
11-1021,2024,0.0076106844526258,0.9999999999999997,NR-I-NM,0.6078939696405433,0.0046264891835882645,0.6498728679932915
11-2011,2006,3.680287604791347e-05,0.9999999999999996,NR-I-NM,0.5397172125680862,1.9863145675068653e-05,0.5861629244968937
11-2011,2007,2.198540797065262e-05,0.9999999999999996,NR-I-NM,0.5397172125680862,1.1865903107092823e-05,0.5861629244968937
11-2011,2008,1.2817163769173869e-05,0.9999999999999996,NR-I-NM,0.5397172125680862,6.91764390252719e-06,0.5861629244968937
11-2011,2009,1.014133440871248e-05,0.9999999999999996,NR-I-NM,0.5397172125680862,5.473452738791123e-06,0.5861629244968937
11-2011,2010,8.521376786674029e-06,0.9999999999999993,NR-I-NM,0.6809195809079391,5.802372310340725e-06,0.7008190904415139
11-2011,2011,4.799808967603089e-06,0.9999999999999993,NR-I-NM,0.6809195809079391,3.2682839106584656e-06,0.7008190904415139
